"Treatment","Timepoint","Replicate","BIM_mix","Escape_phage","Tracked_BIM","total_CFU","Strain","Titre"
"1-clone_control","2","3","3","ancestral","3",9.2e+08,"PFU",1.6e+09
"1-clone_control","2","4","4","ancestral","4",2.18e+09,"PFU",1.6e+09
"1-clone_control","2","5","5","ancestral","5",9.6e+08,"PFU",2600
"1-clone_control","2","6","6","ancestral","6",2.9e+08,"PFU",2e+09
"1-clone_control","2","7","7","ancestral","7",2.3e+08,"PFU",1.4e+09
"1-clone_control","2","8","8","ancestral","8",2.9e+08,"PFU",1.4e+09
"1-clone_control","2","9","9","ancestral","9",3.1e+08,"PFU",4.8e+08
"1-clone_control","2","10","10","ancestral","10",8.5e+08,"PFU",2.6e+09
"1-clone_control","2","11","11","ancestral","11",6.2e+08,"PFU",1.6e+09
"1-clone_control","2","12","12","ancestral","12",6.4e+08,"PFU",1e+09
"1-clone_control","2","13","13","ancestral","13",9.3e+08,"PFU",5e+08
"1-clone_control","2","14","14","ancestral","14",8e+08,"PFU",1.4e+10
"1-clone_control","2","15","15","ancestral","15",1.58e+09,"PFU",1.6e+09
"1-clone_control","2","16","16","ancestral","16",6.6e+08,"PFU",2.4e+09
"1-clone_control","2","17","17","ancestral","1",6e+08,"PFU",1e+08
"1-clone_control","2","18","18","ancestral","4",7.7e+08,"PFU",5e+08
"1-clone_control","2","19","19","ancestral","7",1.8e+08,"PFU",8e+08
"1-clone_control","2","20","20","ancestral","10",9.2e+08,"PFU",0
"1-clone_control","2","21","21","ancestral","14",2.5e+08,"PFU",2.6e+08
"1-clone_control","2","22","22","ancestral","17",4.7e+08,"PFU",1.6e+09
"1-clone_control","2","23","23","ancestral","19",7.6e+08,"PFU",1.2e+09
"1-clone_control","2","24","24","ancestral","22",1.1e+09,"PFU",1.6e+09
"1-clone_control","3","1","1","ancestral","1",2.9e+08,"PFU",0
"1-clone_control","3","2","2","ancestral","4",2.3e+08,"PFU",1800
"1-clone_control","3","3","3","ancestral","7",3.4e+08,"PFU",2.4e+07
"1-clone_control","3","4","4","ancestral","10",3.4e+08,"PFU",2.4e+07
"1-clone_control","3","5","5","ancestral","14",5.9e+08,"PFU",460000
"1-clone_control","3","6","6","ancestral","17",1.6e+08,"PFU",3.4e+07
"1-clone_control","3","7","7","ancestral","19",3e+08,"PFU",1.8e+07
"1-clone_control","3","8","8","ancestral","22",2.4e+08,"PFU",3e+08
"1-clone_control","3","9","9","ancestral","1",4.4e+08,"PFU",2e+07
"1-clone_control","3","10","10","ancestral","4",4.1e+08,"PFU",1.8e+07
"1-clone_control","3","11","11","ancestral","7",2.6e+08,"PFU",4.8e+07
"1-clone_control","3","12","12","ancestral","10",2.1e+08,"PFU",2.8e+07
"1-clone_control","3","13","13","ancestral","14",1.18e+09,"PFU",1e+08
"1-clone_control","3","14","14","ancestral","17",5.1e+08,"PFU",3.4e+07
"1-clone_control","3","15","15","ancestral","19",2e+09,"PFU",4e+06
"1-clone_control","3","16","16","ancestral","22",6.48e+09,"PFU",1.2e+08
"1-clone_control","3","17","17","ancestral","1",8.1e+08,"PFU",2400000
"1-clone_control","3","18","18","ancestral","4",6e+08,"PFU",2.2e+07
"1-clone_control","3","19","19","ancestral","7",5e+08,"PFU",1.2e+08
"1-clone_control","3","20","20","ancestral","10",5.7e+08,"PFU",0
"1-clone_control","3","21","21","ancestral","14",1.41e+09,"PFU",1.6e+07
"1-clone_control","3","22","22","ancestral","17",8e+08,"PFU",1.2e+08
"1-clone_control","3","23","23","ancestral","19",3.5e+08,"PFU",2.4e+07
"1-clone_control","3","24","24","ancestral","22",2.8e+08,"PFU",4e+07
"12-clone","0","1","01-Dec","1","1",4e+06,"PFU",6e+05
"12-clone","0","2","01-Dec","4","4",2900000,"PFU",3400000
"12-clone","0","3","01-Dec","7","7",0,"PFU",3200000
"12-clone","0","4","01-Dec","10","10",540000,"PFU",3200000
"12-clone","0","5","13-24","14","14",4900000,"PFU",2400000
"12-clone","0","6","13-25","17","17",570000,"PFU",3400000
"12-clone","0","7","13-26","19","19",460000,"PFU",2800000
"12-clone","0","8","13-27","22","22",4e+06,"PFU",3200000
"12-clone","1","1","01-Dec","1","1",8e+08,"PFU",54000
"12-clone","1","2","01-Dec","4","4",4.4e+08,"PFU",180000
"12-clone","1","3","01-Dec","7","7",7.4e+07,"PFU",36000
"12-clone","1","4","01-Dec","10","10",6.6e+08,"PFU",74000
"12-clone","1","5","13-24","14","14",1.04e+09,"PFU",1e+05
"12-clone","1","6","13-25","17","17",4.6e+08,"PFU",140000
"12-clone","1","7","13-26","19","19",2e+08,"PFU",1200
"12-clone","1","8","13-27","22","22",4.8e+08,"PFU",54000
"12-clone","2","1","01-Dec","1","1",8.7e+08,"PFU",2400
"12-clone","2","2","01-Dec","4","4",8.1e+08,"PFU",5400
"12-clone","2","3","01-Dec","7","7",1.54e+09,"PFU",400
"12-clone","2","4","01-Dec","10","10",0,"PFU",1800
"12-clone","2","5","13-24","14","14",1.53e+09,"PFU",600
